sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Plastics piping systems - Polyethylene (PE) pipes and fittings for water supply - Part 3: Pipes";"";"International Organization for Standardization (ISO)";"2007";"";"";"";"ISO 4427-2";"23.040.20; 91.140.60; 93.025";"Plásticos; Tuberías; Polietileno; Agua; Abastecimiento de agua; Métodos de ensayo; Presión; Temperatura; Tubos";""
"Plastics piping systems - Polyethylene (PE) pipes and fittings for water supply - Part 5: Fitness for purpose of the system";"";"International Organization for Standardization (ISO)";"2007";"";"";"";"ISO 4427-5";"23.040.20; 23.040.45; 91.140.60; 93.025";"Plásticos; Tuberías; Polietileno; Agua; Métodos de ensayo; Presión; Temperatura; Abastecimiento de agua; Ensamblado; Juntas; Uniones; Acoples";""
"Standard Test Method for Water Penetration of Windows, Curtain Walls and Doors Using Dynamic Pressure";"";"American Architectural Manufacturers Association (AAMA)";"2005";"";"";"";"AAMA 501.1-05";"";"Construcciones; Métodos de ensayo; Agua; Penetración; Cerramientos; Muros cortina; Fachadas integrales; Puertas; Ventanas; Presión dinámica";""
"Quality Assurance and Diagnostic Water Leakage Field Check of Installed Storefronts, Curtain Walls, and Sloped Glazing Systems";"";"American Architectural Manufacturers Association (AAMA)";"2003";"";"";"";"AAMA 501.2-03";"";"Construcciones; Aseguramiento de la calidad; Diagnóstico; Agua; Penetración; Cerramientos; Muros cortina; Fachadas integrales; Vidrieras; Puertas; Ventanas";""
"Mezclas adhesivas, a base de ligantes hidráulicos, de baja absorción de agua, para la colocación de revestimientos cerámicos, graníticos, calcáreos y pétreos. Requisitos";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1992";"";"";"";"IRAM 1760";"91.100.10";"Materiales de construcción; Mezclas adhesivas; Ligantes; Absorción; Agua; Revestimientos; Cerámica; Granito; Cales; Rocas; Requisitos";""
"Cemento. Métodos de ensayo de contracción por secado y de requerimiento de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2006";"";"";"";"IRAM 1761";"91.100.10-10";"Materiales de construcción; Cemento; Métodos de ensayo; Contraccion; Secado; Agua";""
"Pinturas y barnices. Transmisión del vapor de agua. Parte 0: Clasificación del sistema de revestimiento según la velocidad de transmisión de vapor";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2001";"";"";"";"IRAM 1806-0";"87.040";"Pinturas; Barnices; Transmisión; Velocidad; Vapor de agua; Revestimientos";""
"Pinturas y barnices. Determinación de la velocidad de transmisión del vapor de agua. Parte 1: Método de la película sin soporte";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1997";"";"";"";"IRAM 1806-1";"87.040-40";"Pinturas; Barnices; Transmisión; Velocidad; Vapor de agua; Método de determinación; Películas";""
"Pinturas y barnices. Pinturas y sistemas de revestimientos para mampostería exterior y hormigón. Determinación de la velocidad de la transmisión del vapor de agua. Parte 2: Método de la película soportada por un sustrato poroso";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2001";"";"";"";"IRAM 1806-2";"87.040-40";"Pinturas; Barnices; Revestimientos; Mamposteria; Hormigones; Método de determinación; Velocidad; Transmisión; Vapor de agua";""
"Hormigón. Método de ensayo para determinar la capacidad y la velocidad de succión capilar de agua del hormigón endurecido";"";"Instituto Argentino de Normalizacion y Certificación (IRAM)";"2004";"";"";"";"IRAM 1871";"91.100.30";"Materiales de construcción; Hormigones; Métodos de ensayo; Métodos de determinación; Velocidad; Succión; Agua";""
